,zinc_id,smiles,Molecule Name,ROMol
0,ZINC000001530427,C[C@@H]1O[C@@H]1P(=O)(O)O,1-[1-[(4-methoxyphenyl)methyl]piperidin-4-yl]-4-phenylpiperazine,<rdkit.Chem.rdchem.Mol object at 0x000001922DFCCAC0>
1,ZINC000003807804,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,"2-(3,5-dimethylanilino)-5-[[2,5-dimethyl-1-(3-nitrophenyl)pyrrol-3-yl]methylidene]-1,3-thiazol-4-one",<rdkit.Chem.rdchem.Mol object at 0x00000192331E6430>
2,ZINC000000120286,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,"[3-(diethylamino)-2,2-dimethylpropyl] 4-aminobenzoate;hydrochloride",<rdkit.Chem.rdchem.Mol object at 0x00000192331E6510>
3,ZINC000242548690,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,Not Found,<rdkit.Chem.rdchem.Mol object at 0x00000192331E6580>
4,ZINC000000008492,Oc1cccc2cccnc12,2-chloro-4-nitroaniline,<rdkit.Chem.rdchem.Mol object at 0x00000192331E65F0>
5,ZINC000003607120,COc1c(N2CCN[C@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,N-[(3-bromo-4-propan-2-yloxyphenyl)methylideneamino]-3-methoxynaphthalene-2-carboxamide,<rdkit.Chem.rdchem.Mol object at 0x00000192331E6660>
6,ZINC000001612996,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,"8-(3-ethoxypropylamino)-7-(2-methoxyethyl)-3-methyl-9H-purin-7-ium-2,6-dione",<rdkit.Chem.rdchem.Mol object at 0x00000192331E66D0>
7,ZINC000003918087,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,"4-[4-oxo-3-(2-phenylethyl)-1,3-thiazolidin-2-yl]benzoic acid",<rdkit.Chem.rdchem.Mol object at 0x00000192331E6740>
8,ZINC000000001673,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,3-methylpurin-6-amine,<rdkit.Chem.rdchem.Mol object at 0x00000192331E67B0>
9,ZINC000000896546,Nc1nc(=O)[nH]cc1F,(E)-N-(4-phenoxyphenyl)-3-thiophen-2-ylprop-2-enamide,<rdkit.Chem.rdchem.Mol object at 0x00000192331E6820>
